training_seed,seed,episode_return,success,steps,action_energy,final_position
2026,2052,96.60939926720327,True,361,33.906007327967274,0.4593481421470642
2026,2053,96.37694316741796,True,400,36.23056832582033,0.47399336099624634
2026,2054,95.13789379698105,True,520,48.62106203018942,0.46047067642211914
2026,2055,96.47057550313752,True,400,35.29424496862465,0.4761984944343567
2026,2056,96.6828466861607,True,337,33.17153313839293,0.4503903388977051
2026,2057,96.53068672237147,True,326,34.69313277628528,0.46047067642211914
2026,2058,93.93983530524906,True,974,60.601646947509366,0.4628239870071411
2026,2059,95.69449769637009,True,370,43.05502303629905,0.46047067642211914
2026,2060,96.34568140527426,True,325,36.54318594725744,0.46047067642211914
2026,2061,96.82203337858468,True,286,31.779666214153178,0.47002923488616943
2026,2062,96.8580217988115,True,323,31.41978201188491,0.45616772770881653
2026,2063,96.18331547184724,True,363,38.16684528152764,0.46047067642211914
2026,2064,95.3822361945339,True,553,46.17763805466089,0.46047067642211914
2026,2065,96.50053847640082,True,399,34.99461523599179,0.4529842436313629
2026,2066,96.01381389337982,True,294,39.86186106620187,0.46047067642211914
2026,2067,95.35048393133344,True,414,46.4951606866655,0.46047067642211914
2026,2068,96.07181561878008,True,401,39.28184381219921,0.46047067642211914
2026,2069,96.13043038207341,True,363,38.69569617926592,0.46047067642211914
2026,2070,96.79301858862392,True,299,32.0698141137608,0.4553676247596741
2026,2071,96.72619709505041,True,324,32.738029049495864,0.47818225622177124
2026,2072,95.82197682349126,True,367,41.78023176508745,0.46047067642211914
2026,2073,96.33729937031575,True,325,36.62700629684247,0.46047067642211914
2026,2074,96.8885145426339,True,285,31.114854573660995,0.46109139919281006
2026,2075,95.78782565222984,True,557,42.121743477701386,0.4579687714576721
2026,2076,96.77553400451808,True,287,32.244659954819234,0.4554605484008789
2026,2077,96.37376110710133,True,325,36.26238892898668,0.46047067642211914
2026,2078,94.61595750899842,True,534,53.84042491001564,0.46047067642211914
2026,2079,95.85853014763892,True,514,41.41469852361071,0.47462886571884155
2026,2080,96.64852614845846,True,289,33.51473851541547,0.46047067642211914
2026,2081,96.44781465010955,True,363,35.52185349890445,0.4794323742389679
2026,2082,96.03216064152794,True,441,39.67839358472064,0.4905509650707245
2026,2083,96.41457390784373,True,325,35.85426092156274,0.46047067642211914
2026,2084,96.87003323706952,True,325,31.299667629304714,0.45801639556884766
2026,2085,95.11189376490326,True,708,48.88106235096737,0.4676162004470825
2026,2086,96.5180695774387,True,286,34.819304225613024,0.46047067642211914
2026,2087,95.1377128176911,True,452,48.62287182308894,0.46047067642211914
2026,2088,95.91626465589133,True,365,40.83735344108668,0.46047067642211914
2026,2089,96.61592988996564,True,287,33.84070110034361,0.46047067642211914
2026,2090,94.88456905965953,True,526,51.15430940340461,0.46047067642211914
2026,2091,96.89507243328364,True,285,31.049275667163496,0.4648134410381317
2026,2092,96.4997388457874,True,403,35.002611542125905,0.4571571350097656
2026,2093,96.43513673264253,True,325,35.64863267357468,0.46047067642211914
2026,2094,96.29035153413054,True,288,37.09648465869462,0.46047067642211914
2026,2095,96.80674018502096,True,323,31.932598149790405,0.46424204111099243
2026,2096,96.82180623195576,True,286,31.781937680442315,0.46815207600593567
2026,2097,96.62103114845358,True,288,33.78968851546418,0.46047067642211914
2026,2098,95.71117463639983,True,440,42.88825363600162,0.46047067642211914
2026,2099,95.04724243660647,True,683,49.5275756339352,0.45661836862564087
2026,2100,95.97874199488055,True,364,40.21258005119451,0.46047067642211914
2026,2101,96.6481914368114,True,289,33.51808563188605,0.46047067642211914
2026,2102,96.76872226359828,True,287,32.31277736401732,0.48915916681289673
2026,2103,96.57302472292906,True,328,34.269752770709275,0.4546762704849243
2026,2104,95.02383429387132,True,557,49.76165706128681,0.46047067642211914
2026,2105,96.62589163959608,True,326,33.74108360403925,0.4896593391895294
2026,2106,96.12345918252964,True,439,38.76540817470351,0.47258302569389343
2026,2107,96.5003482366563,True,362,34.996517633437094,0.45027971267700195
2026,2108,96.08178929414733,True,440,39.18210705852668,0.46223628520965576
2026,2109,96.97114457135008,True,288,30.288554286499163,0.46193915605545044
2026,2110,96.03356774040489,True,441,39.664322595951035,0.4869895577430725
2026,2111,96.15492600263912,True,479,38.45073997360882,0.45724427700042725
2026,2112,96.52515384653411,True,286,34.74846153465896,0.46047067642211914
2026,2113,96.44428640711902,True,376,35.55713592880967,0.4541674852371216
