policy,seed,episode_return,success,steps,action_energy,max_position,final_position
zero,2085,0.0,False,999,0.0,-0.4788767099380493,-0.5193533301353455
zero,2086,0.0,False,999,0.0,-0.46374621987342834,-0.5246739983558655
zero,2087,0.0,False,999,0.0,-0.5164436101913452,-0.5222472548484802
zero,2088,0.0,False,999,0.0,-0.5059863328933716,-0.5267072916030884
zero,2089,0.0,False,999,0.0,-0.46751081943511963,-0.5257995128631592
zero,2090,0.0,False,999,0.0,-0.5001298785209656,-0.5197281837463379
zero,2091,0.0,False,999,0.0,-0.48197558522224426,-0.5280899405479431
zero,2092,0.0,False,999,0.0,-0.4526146352291107,-0.5273622870445251
zero,2093,0.0,False,999,0.0,-0.40618252754211426,-0.5778212547302246
zero,2094,0.0,False,999,0.0,-0.45600244402885437,-0.5215614438056946
zero,2095,0.0,False,999,0.0,-0.42036157846450806,-0.5567861795425415
zero,2096,0.0,False,999,0.0,-0.4776417315006256,-0.5277126431465149
zero,2097,0.0,False,999,0.0,-0.4677346646785736,-0.5258582830429077
zero,2098,0.0,False,999,0.0,-0.5125373601913452,-0.5215466618537903
zero,2099,0.0,False,999,0.0,-0.4844726324081421,-0.5189951062202454
zero,2100,0.0,False,999,0.0,-0.5069893002510071,-0.5265577435493469
zero,2101,0.0,False,999,0.0,-0.4687807261943817,-0.5261255502700806
zero,2102,0.0,False,999,0.0,-0.4762372374534607,-0.5275367498397827
zero,2103,0.0,False,999,0.0,-0.4100249111652374,-0.5716338157653809
zero,2104,0.0,False,999,0.0,-0.4681967496871948,-0.5212188363075256
zero,2105,0.0,False,999,0.0,-0.41348007321357727,-0.5663865804672241
zero,2106,0.0,False,999,0.0,-0.5075201988220215,-0.5207211971282959
zero,2107,0.0,False,999,0.0,-0.5178848505020142,-0.5246831774711609
zero,2108,0.0,False,999,0.0,-0.5083420872688293,-0.5208495855331421
zero,2109,0.0,False,999,0.0,-0.4930172562599182,-0.5280776023864746
